code,municipality,county,constituency,constituency_name,name,electorate,kind,baseline_source,prior_rate,expected_votes,old_codes,prior_M,prior_C,prior_L,prior_KD,prior_MP,prior_S,prior_V,prior_SD,prior_ÖVR
01200302,0120,01,02,Stockholms län,Djurö 2 Björkås Barnvik,1039,ordinary,municipality_residual,0.8375968992248062,870.2631782945737,,0.22658031259293526,0.0717377655883422,0.05032547995902587,0.046029805372897595,0.0644020751412616,0.27231272510987015,0.049532432343125266,0.2082741301258963,0.010805273766645739
01200303,0120,01,02,Stockholms län,Djurö 3 Stavsnäs,1344,ordinary,municipality_residual,0.8375968992248062,1125.7302325581395,,0.22658031259293526,0.0717377655883422,0.05032547995902587,0.046029805372897595,0.0644020751412616,0.27231272510987015,0.049532432343125266,0.2082741301258963,0.010805273766645739
01200501,0120,01,02,Stockholms län,Ingarö 1 Lillängsdal Fagerholm,1044,ordinary,municipality_residual,0.8375968992248062,874.4511627906977,,0.22658031259293526,0.0717377655883422,0.05032547995902587,0.046029805372897595,0.0644020751412616,0.27231272510987015,0.049532432343125266,0.2082741301258963,0.010805273766645739
01200502,0120,01,02,Stockholms län,Ingarö 2 Säby Eknäs,1354,ordinary,district_mapping,0.8500382555470544,1150.9517980107116,01200502,0.2478709099058718,0.061407440609592114,0.043478260869565216,0.047064096817570594,0.05871806364858808,0.23352756611385028,0.03809950694755715,0.2541461228148812,0.015688032272523533
01200503,0120,01,02,Stockholms län,Ingarö 3 Ingaröstrand,1478,ordinary,municipality_residual,0.8375968992248062,1237.9682170542635,,0.22658031259293526,0.0717377655883422,0.05032547995902587,0.046029805372897595,0.0644020751412616,0.27231272510987015,0.049532432343125266,0.2082741301258963,0.010805273766645739
01200504,0120,01,02,Stockholms län,Ingarö 4 Klacknäset,1079,ordinary,municipality_residual,0.8375968992248062,903.7670542635659,,0.22658031259293526,0.0717377655883422,0.05032547995902587,0.046029805372897595,0.0644020751412616,0.27231272510987015,0.049532432343125266,0.2082741301258963,0.010805273766645739
01200505,0120,01,02,Stockholms län,Ingarö 5 Lämshaga Brunn,1080,ordinary,municipality_residual,0.8375968992248062,904.6046511627907,,0.22658031259293526,0.0717377655883422,0.05032547995902587,0.046029805372897595,0.0644020751412616,0.27231272510987015,0.049532432343125266,0.2082741301258963,0.010805273766645739
01200601,0120,01,02,Stockholms län,Gustavsberg 1 Lugnet,1512,ordinary,district_mapping,0.8226439790575916,1243.8376963350784,01200601,0.15101070154577884,0.05826397146254459,0.024177566389219182,0.04399524375743163,0.07332540626238605,0.3515655965120888,0.07491082045184304,0.21046373365041618,0.012286959968291716
01200602,0120,01,02,Stockholms län,Gustavsberg 2 Tallåsen,973,ordinary,municipality_residual,0.8375968992248062,814.9817829457364,,0.22658031259293526,0.0717377655883422,0.05032547995902587,0.046029805372897595,0.0644020751412616,0.27231272510987015,0.049532432343125266,0.2082741301258963,0.010805273766645739
01200603,0120,01,02,Stockholms län,Gustavsberg 3 Munkmora,1430,ordinary,district_mapping,0.7241379310344828,1035.5172413793105,01200603,0.12098765432098765,0.047901234567901234,0.03209876543209877,0.03308641975308642,0.0508641975308642,0.33925925925925926,0.10024691358024691,0.254320987654321,0.02123456790123457
